province,month,median_income,n_obs,weighted_n
Zamora Chinchipe,05,410,238,107875.58432979924
Galapagos,05,800,130,11874.365266598825
Sucumbios,05,250,307,133726.12816959148
Orellana,05,360,229,105070.76583114859
Santo Domingo de los Tsachilas,05,400,240,233656.53190177662
Santa Elena,05,392,447,274362.29265084636
Azuay,06,470,1172,291052.1861949511
Bolivar,06,320,192,66142.89368279566
Canar,06,400,217,64576.6682703191
Carchi,06,280,263,69890.38086432143
Cotopaxi,06,280,275,262844.29685859353
Chimborazo,06,280,225,203030.29070906236
El Oro,06,475,1170,251938.56000094276
Esmeraldas,06,350,628,266150.6841824711
Guayas,06,450,1536,2165078.5341930427
Imbabura,06,350,561,185638.60589305553
Loja,06,290,376,163054.8825743517
Los Rios,06,320,208,412902.40730168315
Manabi,06,320,246,472571.689311883
Morona Santiago,06,200,167,346028.4380845974
Napo,06,185,200,119237.35157167724
Pastaza,06,280,213,95617.57799619003
Pichincha,06,513,1782,1050889.514356333
Tungurahua,06,400,1054,199881.26201572258
Zamora Chinchipe,06,460,243,63747.917378929626
Galapagos,06,935,145,14611.801790060736
Sucumbios,06,340,289,102932.81564198043
Orellana,06,340,249,81948.29344947488
Santo Domingo de los Tsachilas,06,390,229,170885.46336374787
Santa Elena,06,368,466,255077.9227403927
Azuay,07,480,1101,329795.6408200164
Bolivar,07,310,182,44176.92497618321
Canar,07,470,206,88815.57037702276
Carchi,07,325,216,63598.508403882115
Cotopaxi,07,500,268,203165.61000200445
Chimborazo,07,300,219,150058.77875312915
El Oro,07,470,1280,258524.5728587817
Esmeraldas,07,330,655,305180.1284876249
Guayas,07,410,1485,2107890.878566007
Imbabura,07,300,515,179115.04298232915
Loja,07,400,411,177021.25802312803
Los Rios,07,460,218,375786.1267096233
Manabi,07,250,249,588388.3263080713
Morona Santiago,07,300,110,36249.347574157815
Napo,07,250,195,80252.93334746237
Pastaza,07,240,215,177009.02489058804
Pichincha,07,500,1778,1281772.057875818
Tungurahua,07,370,1030,279393.45422579173
Zamora Chinchipe,07,400,211,64389.33602580995
Galapagos,07,900,129,10124.710356369253
Sucumbios,07,470,288,76295.90367909092
Orellana,07,518,233,116562.60283060969
Santo Domingo de los Tsachilas,07,450,266,221150.88313581192
Santa Elena,07,280,446,146295.75681067273
Azuay,08,470,1050,242735.63002276776
Bolivar,08,320,188,48487.87852453279
Canar,08,350,219,177978.09937747093
Carchi,08,340,273,42754.45172405591
Cotopaxi,08,320,221,94681.20498490724
Chimborazo,08,248,239,219459.59010164585
El Oro,08,400,1323,373972.9928839713
Esmeraldas,08,300,605,248837.9933522904
Guayas,08,440,1572,2030019.8428518875
Imbabura,08,315,599,187362.4338288073
Loja,08,290,391,192768.89508999238
Los Rios,08,280,236,443025.91174480156
Manabi,08,325,237,474719.51450609067
Morona Santiago,08,280,131,125923.7867647007
